Education;Occupation;Proficiency;Level of Frustration;Curiosity;Tech Savviness;Tech Flexibility;Level of Intuition;Pain Points;Functional Need;Emotional Need;Product Type
Bachelor's Degree;Software Enginner;8;3;9;9;8;7;4;10;7;Mobile App
High School;Retail Worker;3;6;5;5;6;5;7;6;5;E-commerce
Master's Degree;Data Scientist;9;2;8;10;9;9;2;10;6;Entreprise Software
No Formal Education;Freelance Designer;6;4;7;6;7;8;5;8;8;Design Software
PhD in Philosophy;University Professor;4;7;6;5;5;4;8;7;6;Educational Platform
Bachelor's Degree;UX/UI Designer;7;3;9;8;9;8;3;10;8;Web Application
Associate's Degree;Customer Support;5;5;6;6;;5;6;7;6;SaaS Platform
High School;Construction Worker;2;8;4;3;4;3;9;4;4;Mobile App
No Formal Education;Tech CEO;9;2;9;9;9;7;6;7;3;Web Application
Master's Degree;Unemployed;6;6;7;5;5;6;7;6;4;Mobile App
