Education,Occupation,Proficiency,Level of Frustration,Curiosity,Tech Savviness,Tech Flexibility,Level of Intuition,Pain Points,Functional Need,Emotional Need,Product Type
Postdoctoral Studies,Business Analyst,3,4,8,6,6,2,8,2,2,CRM Tool
Associate's Degree,UX/UI Designer,10,8,4,3,6,2,9,5,7,Web Application
Postdoctoral Studies,Nurse,2,7,4,6,5,6,1,2,10,Marketing Automation Tool
Vocational Training,Gardener,1,6,5,4,5,4,2,8,4,Streaming Service
Associate Degree,Graphic Designer,4,5,10,0,6,4,2,0,6,Survey Platform
Doctoral Degree,Lawyer,0,3,2,5,3,1,9,4,9,E-commerce
Associate's Degree,Customer Support,8,10,9,2,1,2,6,2,8,Cybersecurity Tool
Associate Degree,IT Consultant,6,7,6,0,0,6,7,2,2,E-learning Tool
Doctoral Degree,Dentist,1,10,8,0,3,6,1,7,8,CRM Tool
Postdoctoral Studies,Freelance Designer,5,4,6,6,3,7,0,2,9,Video Editing Software
PhD,Scientist,1,7,9,0,0,2,1,10,1,Cybersecurity Tool
Postdoctoral Studies,Civil Engineer,8,0,5,5,0,4,2,9,10,Cybersecurity Tool
Graduate Diploma,Social Media Manager,10,3,2,3,6,2,7,10,6,Remote Work Tool
Trade School,Freelance Designer,3,6,3,5,6,8,10,8,3,Design Software
Self-Taught,Waiter,5,3,4,6,0,3,6,10,7,E-commerce
Vocational Training,Artist,4,4,4,5,0,8,2,7,3,Photo Editing Software
Trade School,Waiter,6,4,0,3,2,6,0,7,10,E-learning Tool
Associate's Degree,UX/UI Designer,6,2,7,0,4,3,10,0,3,Mobile App
High School,Retail Worker,10,10,9,0,0,5,0,6,9,Mobile App
Vocational Training,Event Planner,3,0,5,5,5,6,2,10,10,HR Management Software
Bachelor's Degree,Software Engineer,6,4,2,10,1,4,8,1,6,SaaS Platform
Vocational Training,UX/UI Designer,1,1,10,5,3,2,3,1,8,Web Application
Trade School,Data Scientist,4,0,6,7,1,0,1,7,3,Data Analytics Tool
Bachelor's Degree,Designer,1,3,0,2,1,4,7,6,5,Artificial Intelligence Tool
Postdoctoral Studies,Freelance Designer,1,0,6,1,4,7,9,9,0,Video Editing Software
MBA,Chef,5,0,9,5,6,3,4,1,4,SaaS Platform
Bachelor's Degree,Software Engineer,1,8,6,8,6,1,9,4,0,Artificial Intelligence Tool
Self-Taught,Engineer,10,6,3,4,8,2,10,1,5,Cybersecurity Tool
Self-Taught,Project Manager,6,4,3,5,1,5,4,8,1,Cloud Storage
Bachelor's Degree,Software Engineer,2,0,4,7,5,5,3,2,1,SaaS Platform
Trade School,Gardener,2,3,4,6,5,2,3,6,9,E-learning Tool
Associate Degree,Marketer,2,7,6,1,0,1,7,10,3,Finance & Accounting Software
High School,Retail Worker,3,7,1,2,3,3,1,3,8,E-commerce
Certification,Nurse,6,8,9,5,2,1,6,9,6,Survey Platform
Bachelor's Degree,Product Manager,10,9,9,1,8,0,0,9,0,E-commerce
Trade School,Civil Engineer,4,5,10,6,5,1,9,2,5,Real Estate Software
Doctoral Degree,Graphic Designer,6,2,8,3,2,5,7,0,3,Gaming Platform
Certification,Civil Engineer,0,6,5,4,6,6,5,4,2,Gaming Platform
Bachelor's Degree,Software Engineer,10,1,9,7,1,5,0,1,4,SaaS Platform
Associate's Degree,Web Developer,8,8,4,10,6,0,2,3,2,Learning Management System
Associate Degree,Product Manager,3,0,7,3,10,0,9,10,6,Augmented Reality App
Associate's Degree,Customer Support,5,0,2,6,2,2,10,1,7,Learning Management System
Certification,Engineer,8,0,10,2,7,4,2,10,6,SaaS Platform
MBA,Artist,0,0,0,0,3,10,7,9,5,Communication Tool
Master's Degree,Engineer,5,7,0,6,9,5,1,0,4,Cloud Storage
Vocational Training,Physician,2,7,4,4,5,3,0,3,7,Mobile App
Self-Taught,Public Relations Specialist,8,10,2,0,2,0,5,8,3,E-learning Tool
Master's Degree,Engineer,10,3,9,0,8,1,5,5,4,Food Delivery App
High School,Mechanic,4,3,4,4,1,4,0,5,8,Finance & Accounting Software
High School,Construction Worker,10,0,1,6,4,1,7,3,0,Communication Tool
Associate Degree,Photographer,3,2,1,3,2,1,5,0,0,Business Intelligence Software
Professional Training,Civil Engineer,2,4,3,5,4,5,7,4,6,IoT Platform
Certification,Project Manager,2,6,1,5,2,4,0,5,3,Mobile App
Postdoctoral Studies,Waiter,6,0,1,6,0,2,2,8,7,Travel App
Master's Degree,Pharmacist,4,6,9,3,6,6,6,5,3,Remote Work Tool
Graduate Diploma,Tech CEO,6,5,8,4,9,5,1,5,4,Enterprise Software
Master's Degree,Lawyer,2,3,7,5,3,3,10,1,8,Real Estate Software
High School,Mechanic,5,9,7,1,4,2,0,5,1,CRM Tool
Associate's Degree,Nurse,0,0,7,2,5,5,7,5,10,Blockchain Platform
Doctoral Degree,University Professor,0,7,0,6,5,4,3,8,1,CRM Tool
Certification,Product Manager,8,5,8,5,9,5,5,6,7,Photo Editing Software
Associate Degree,Copywriter,9,3,10,3,6,3,4,7,3,Food Delivery App
Associate Degree,UX/UI Designer,5,7,10,6,1,2,9,5,0,Design Software
Bachelor's Degree,Product Manager,8,8,10,4,8,6,5,10,1,Mobile App
PhD,Scientist,4,3,5,4,2,0,7,2,10,Virtual Reality Tool
MBA,Freelance Designer,3,6,1,4,6,8,0,6,9,Design Software
Doctoral Degree,Social Media Manager,8,0,10,6,3,0,2,9,6,Travel App
Trade School,Pharmacist,3,6,3,6,6,2,10,5,3,Music Production Software
Graduate Diploma,Civil Engineer,8,10,1,4,5,3,0,0,7,Augmented Reality App
No Formal Education,Construction Worker,2,9,9,2,0,3,7,1,10,Communication Tool
Graduate Diploma,Event Planner,2,0,10,3,0,4,5,5,7,Photo Editing Software
Postdoctoral Studies,Financial Analyst,3,5,0,5,3,6,4,9,9,E-commerce
High School,Gardener,6,4,2,2,3,3,0,6,3,Enterprise Software
Trade School,Project Manager,5,5,2,5,2,4,6,8,4,Photo Editing Software
PhD,Engineer,5,6,6,0,8,1,6,7,5,Remote Work Tool
Associate Degree,Freelance Designer,10,4,4,4,4,7,0,9,8,Design Software
Graduate Diploma,Public Speaker,2,2,10,6,6,0,10,3,4,CRM Tool
High School,Retail Worker,9,2,8,5,6,1,9,7,7,Mobile App
PhD,Scientist,8,4,5,2,5,6,10,10,1,Mobile App
Vocational Training,HR Manager,0,9,6,0,0,3,7,5,8,Educational Platform
Postdoctoral Studies,Nurse,6,5,9,4,0,5,3,6,4,Streaming Service
Professional Training,Unemployed,1,3,4,3,6,4,0,4,3,Music Production Software
Professional Training,Investment Banker,1,6,7,1,0,3,0,0,7,Streaming Service
Doctoral Degree,Business Analyst,3,5,9,2,2,4,0,10,6,Augmented Reality App
PhD,Scientist,4,8,3,1,1,0,4,7,4,Food Delivery App
Master's Degree,University Professor,5,10,5,5,2,4,1,5,6,E-learning Tool
Vocational Training,Writer,10,1,8,2,1,4,5,10,7,Cloud Storage
Trade School,Investment Banker,7,0,8,6,5,5,0,3,1,Collaboration Tool
Professional Training,IT Consultant,3,5,1,2,5,3,9,2,5,IoT Platform
